indice,start,end,duration,power,nevents
0,2015-01-30 02:02:56.000000,2015-01-30 02:04:57.000363,0 days 00:02:01.000363000,4.387403105072547e-05,-1
1,2015-01-30 02:04:57.000272,2015-01-30 02:13:34.000726,0 days 00:08:37.000454000,3.9049208733687e-05,-1
2,2015-01-30 02:13:34.000635,2015-01-30 02:17:56.000000,0 days 00:04:21.999365000,3.6406875656228907e-05,-1
3,2015-02-02 07:50:49.000000,2015-02-02 07:52:35.000363,0 days 00:01:46.000363000,5.915366604446734e-05,-1
4,2015-02-02 07:52:35.000272,2015-02-02 07:54:34.000363,0 days 00:01:59.000091000,7.805767781666108e-05,-1
5,2015-02-02 07:54:34.000272,2015-02-02 07:57:46.000726,0 days 00:03:12.000454000,0.00011955097396621793,-1
6,2015-02-02 07:57:46.000635,2015-02-02 08:00:30.000726,0 days 00:02:44.000091000,0.00010320247000957173,-1
7,2015-02-02 08:00:30.000635,2015-02-02 08:01:08.000363,0 days 00:00:37.999728000,7.16131330001763e-05,-1
8,2015-02-02 08:01:08.000272,2015-02-02 08:01:43.000726,0 days 00:00:35.000454000,4.8332463426436214e-05,-1
9,2015-02-02 08:01:43.000635,2015-02-02 08:05:49.000000,0 days 00:04:05.999365000,3.528647073433128e-05,-1
10,2015-02-08 11:26:39.000000,2015-02-08 11:28:27.000363,0 days 00:01:48.000363000,3.388149497244036e-05,-1
11,2015-02-08 11:28:27.000272,2015-02-08 11:30:58.000726,0 days 00:02:31.000454000,4.593390768558926e-05,-1
12,2015-02-08 11:30:58.000635,2015-02-08 11:31:47.000726,0 days 00:00:49.000091000,5.425232942882673e-05,-1
13,2015-02-08 11:31:47.000635,2015-02-08 11:32:06.000363,0 days 00:00:18.999728000,7.490979920447733e-05,-1
14,2015-02-08 11:32:06.000272,2015-02-08 11:32:38.000726,0 days 00:00:32.000454000,0.0001382908986740998,-1
15,2015-02-08 11:32:38.000635,2015-02-08 11:32:51.000726,0 days 00:00:13.000091000,0.0002968382528702983,-1
16,2015-02-08 11:32:51.000635,2015-02-08 11:33:07.001088,0 days 00:00:16.000453000,6.14192293209865e-05,-1
17,2015-02-08 11:33:07.000998,2015-02-08 11:33:17.000726,0 days 00:00:09.999728000,0.00021037846089565408,-1
18,2015-02-08 11:33:17.000635,2015-02-08 11:33:22.001088,0 days 00:00:05.000453000,0.006438262188741202,-1
19,2015-02-08 11:33:22.000998,2015-02-08 11:33:31.001451,0 days 00:00:09.000453000,0.0004200743987708012,-1
20,2015-02-08 11:33:31.001361,2015-02-08 11:34:05.001451,0 days 00:00:34.000090000,0.00017607225945274297,-1
21,2015-02-08 11:34:05.001361,2015-02-08 11:34:10.001814,0 days 00:00:05.000453000,0.0026786447096189075,-1
22,2015-02-08 11:34:10.001723,2015-02-08 11:34:22.002177,0 days 00:00:12.000454000,0.00014024507025624003,-1
23,2015-02-08 11:34:22.002086,2015-02-08 11:34:32.001814,0 days 00:00:09.999728000,0.001403847079548859,-1
24,2015-02-08 11:34:32.001723,2015-02-08 11:34:36.001814,0 days 00:00:04.000091000,0.007012186846619219,-1
25,2015-02-08 11:34:36.001723,2015-02-08 11:34:52.002177,0 days 00:00:16.000454000,9.224698472634196e-05,-1
26,2015-02-08 11:34:52.002086,2015-02-08 11:34:59.000726,0 days 00:00:06.998640000,0.0012775199398039761,-1
27,2015-02-08 11:34:59.000635,2015-02-08 11:36:00.001088,0 days 00:01:01.000453000,0.0001968405698915004,-1
28,2015-02-08 11:36:00.000998,2015-02-08 11:36:35.001451,0 days 00:00:35.000453000,7.859316829285946e-05,-1
29,2015-02-08 11:36:35.001361,2015-02-08 11:36:49.001451,0 days 00:00:14.000090000,0.00015151385007533509,-1
30,2015-02-08 11:36:49.001361,2015-02-08 11:37:52.001451,0 days 00:01:03.000090000,5.7776480241345725e-05,-1
31,2015-02-08 11:37:52.001361,2015-02-08 11:38:07.001088,0 days 00:00:14.999727000,0.00023228913012233483,-1
32,2015-02-08 11:38:07.000998,2015-02-08 11:38:11.001088,0 days 00:00:04.000090000,0.001233836913350515,-1
33,2015-02-08 11:38:11.000998,2015-02-08 11:39:30.001088,0 days 00:01:19.000090000,4.137565046203167e-05,-1
34,2015-02-08 11:39:30.000998,2015-02-08 11:39:36.001451,0 days 00:00:06.000453000,0.002478392112704089,-1
35,2015-02-08 11:39:36.001361,2015-02-08 11:39:55.001814,0 days 00:00:19.000453000,0.0002534837080428786,-1
36,2015-02-08 11:39:55.001723,2015-02-08 11:39:58.001088,0 days 00:00:02.999365000,0.0015570761582123956,-1
37,2015-02-08 11:39:58.000998,2015-02-08 11:41:39.000000,0 days 00:01:40.999002000,4.1670880815215035e-05,-1
